,A,Z,mass_theory,mass_practice,excess,binding energy,beta decay,mass
379,42,17,39088.8,39089.2,-24.913,350.608,9.50969,39089.2
380,42,18,39077.9,39079.1,-34.4227,359.336,0.599351,39079.1
381,42,19,39076.1,39078.0,-35.022,359.153,3.52522,39078.0
382,42,20,39071.7,39074.0,-38.5472,361.896,-6.4261,39074.0
383,42,21,39078.5,39079.9,-32.1211,354.687,-7.01648,39079.9
384,42,22,39084.6,39086.4,-25.1047,346.888,-17.485,39086.4
385,42,23,39101.6,39103.4,-7.62,328.621,-13.861,39103.4
386,42,24,39116.0,39116.8,6.241,313.978,0.0,39116.8
387,42,25,39138.8,,,,,39138.80078125
388,42,26,39158.9,,,,,39158.8984375
389,43,11,40156.3,,,,,40156.30078125
390,43,12,40124.4,,,,,40124.3984375
391,43,13,40097.1,40095.6,47.944,288.952,24.843,40095.6
392,43,14,40069.7,40070.2,23.101,313.013,18.421,40070.2
393,43,15,40049.8,40051.3,4.67983,330.652,16.8753,40051.3
394,43,16,40033.9,40033.9,-12.1955,346.745,12.1272,40033.9
395,43,17,40021.5,40021.2,-24.3226,358.089,7.68718,40021.2
396,43,18,40012.2,40013.0,-32.0098,364.994,4.56558,40013.0
397,43,19,40006.0,40008.0,-36.5754,368.777,1.83343,40008.0
398,43,20,40003.6,40005.6,-38.4088,369.829,-2.22072,40005.6
399,43,21,40004.8,40007.3,-36.1881,366.825,-6.86702,40007.3
400,43,22,40011.5,40013.7,-29.3211,359.176,-11.4047,40013.7
401,43,23,40023.3,40024.6,-17.9164,346.989,-15.616,40024.6
402,43,24,40038.5,40039.7,-2.301,330.591,0.0,40039.7
403,43,25,40056.5,,,,,40056.5
404,43,26,40079.0,,,,,40079.0
405,44,11,41098.9,,,,,41098.8984375
406,44,12,41057.7,,,,,41057.69921875
407,44,13,41037.5,,,,,41037.5
408,44,14,41007.8,41007.1,28.513,315.672,18.071,41007.1
409,44,15,40989.7,40988.5,10.442,332.961,19.646,40988.5
410,44,16,40968.2,40968.4,-9.20423,351.825,11.4055,40968.4
411,44,17,40957.2,40956.5,-20.6097,362.448,12.0635,40956.5
412,44,18,40943.3,40943.9,-32.6733,373.729,3.10824,40943.9
413,44,19,40938.7,40940.3,-35.7815,376.055,5.68717,40940.3
414,44,20,40932.1,40934.1,-41.4687,380.96,-3.65268,40934.1
415,44,21,40935.2,40937.2,-37.816,376.525,-0.267407,40937.2
416,44,22,40935.7,40937.0,-37.5486,375.475,-13.4322,40937.0
417,44,23,40948.7,40949.9,-24.1164,361.26,-10.479,40949.9
418,44,24,40958.8,40959.9,-13.637,349.999,-20.297,40959.9
419,44,25,40978.5,40979.7,6.66,328.919,0.0,40979.7
